symbol,type,category,api_source,enabled
NVDA,stock,AI bubble indicator,yahoo_finance,TRUE
AMD,stock,AI bubble indicator,yahoo_finance,TRUE
INTC,stock,AI bubble indicator,yahoo_finance,TRUE
MSFT,stock,AI bubble indicator,yahoo_finance,TRUE
GOOGL,stock,AI bubble indicator,yahoo_finance,TRUE
META,stock,AI bubble indicator,yahoo_finance,TRUE
AMZN,stock,AI bubble indicator,yahoo_finance,TRUE
AVGO,stock,AI bubble indicator,yahoo_finance,TRUE
ASML,stock,AI bubble indicator,yahoo_finance,TRUE
LRCX,stock,AI bubble indicator,yahoo_finance,TRUE
MU,stock,AI bubble indicator,yahoo_finance,TRUE
TSM,stock,AI bubble indicator,yahoo_finance,TRUE
PLTR,stock,AI bubble indicator,yahoo_finance,TRUE
CRWD,stock,AI bubble indicator,yahoo_finance,TRUE
NFLX,stock,AI bubble indicator,yahoo_finance,TRUE
AAPL,stock,AI bubble indicator,yahoo_finance,TRUE
SOXX,etf,AI bubble indicator,yahoo_finance,TRUE
VGT,etf,AI bubble indicator,yahoo_finance,TRUE
QUBT,stock,Quantum/Emerging Tech,yahoo_finance,TRUE
IONQ,stock,Quantum/Emerging Tech,yahoo_finance,TRUE
SPY,etf,Market bull/bear indicator,yahoo_finance,TRUE
QQQ,etf,Market bull/bear indicator,yahoo_finance,TRUE
QQQM,etf,Market bull/bear indicator,yahoo_finance,TRUE
MGK,etf,Market bull/bear indicator,yahoo_finance,TRUE
VUG,etf,Market bull/bear indicator,yahoo_finance,TRUE
^VIX,index,Market volatility indicator,yahoo_finance,TRUE
NQ=F,index,Market bull/bear indicator,yahoo_finance,TRUE
SPLV,etf,Low Volatility/Defensive,yahoo_finance,TRUE
SCHD,etf,Dividend Growth,yahoo_finance,TRUE
DGRO,etf,Dividend Growth,yahoo_finance,TRUE
VIG,etf,Dividend Growth,yahoo_finance,TRUE
VYM,etf,Dividend Growth,yahoo_finance,TRUE
XLE,etf,Energy Sector,yahoo_finance,TRUE
FENY,etf,Energy Sector,yahoo_finance,TRUE
VDE,etf,Energy Sector,yahoo_finance,TRUE
MA,stock,Payments/Fintech,yahoo_finance,TRUE
V,stock,Payments/Fintech,yahoo_finance,TRUE
JPM,stock,Financials,yahoo_finance,TRUE
AXON,stock,Defense/Industrial Tech,yahoo_finance,TRUE
HWM,stock,Defense/Industrial Tech,yahoo_finance,TRUE
EME,stock,Defense/Industrial Tech,yahoo_finance,TRUE
TEM,stock,Defense/Industrial Tech,yahoo_finance,TRUE
FIX,stock,Defense/Industrial Tech,yahoo_finance,TRUE
ITA,etf,Defense/Industrial Tech,yahoo_finance,TRUE
VGK,etf,International Equity,yahoo_finance,TRUE
BTC-USD,crypto,Crypto indicator,yahoo_finance,TRUE
ETH-USD,crypto,Crypto indicator,yahoo_finance,TRUE
GLD,etf,Precious Metals,yahoo_finance,TRUE
FSTA,etf,Consumer Staples,yahoo_finance,TRUE
VDC,etf,Consumer Staples,yahoo_finance,TRUE
XLP,etf,Consumer Staples,yahoo_finance,TRUE